ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Α27Χ,Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,350.00,2,161.48,Α
Α28Μ,Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές,1377.00,6,89.79,Α
Α28Χ,Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,623.00,3,265.37,Α
Α29Μ,Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές,872.00,4,162.52,Α
Α29Χ,Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,397.00,2,237.94,Α
Α30Μ,Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές,1331.00,5,259.97,Α
Α30Χ,Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607.00,2,119.33,Α
Α31Μ,Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1798.00,9,244.42,Α
Α31Χ,Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,910.00,5,171.15,Α
Α32Α,Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο,846.00,4,109.81,Α
Α33Μα,Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2023.00,10,159.97,Α
Α33Μβ,Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1043.00,5,228.39,Α
Α33Χ,Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607.00,3,108.62,Α
Α34Μα,Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1977.00,10,133.96,Α
Α34Μβ,Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1393.00,7,273.26,Α
Α34Χ,Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,638.00,3,70.14,Α
Α35Μα,Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1556.00,8,87.71,Α
Α35Μβ,Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,973.00,5,145.76,Α
Α35Χ,Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,475.00,2,88.20,Α
Α36Α,Φυματίωση αναπνευστικού,2412.00,14,103.49,Α
Κ01Μ,"Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή, ολικό σύστημα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",16215.00,12,153.72,Κ
Κ01Χ,"Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή, ολικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",12420.00,3,132.72,Κ
Κ02Α,Άλλες επεμβάσεις επί εμφυτεύσιμου απινιδωτή,2844.00,4,166.48,Κ
Κ03Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15429.00,23,65.57,Κ
Κ03Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,11734.00,13,258.22,Κ
Κ04Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,13155.00,14,147.37,Κ
Κ04Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,9163.00,8,242.45,Κ
Κ05Μ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό με επανεπέμβαση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10023.00,18,286.52,Κ
