ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
S20Χ,Αποκατάσταση χωρίς καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,1759.00,19,184.39,S
S20Α,"Αποκατάσταση, της ίδιας ημέρας",934.00,1,147.16,S
S21Μ,Σημεία και συμπτώματα,887.00,5,142.75,S
S21Χ,"Σημεία και συμπτώματα, της ίδιας ημέρας",232.00,1,287.35,S
S23Μ,Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2039.00,14,224.12,S
S23Χ,Follow up για χειρουργικές και ιατρικές υπηρεσίες και φροντίδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,848.00,6,185.05,S
S24Μ,Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας,770.00,4,196.84,S
S24Χ,"Λοιποί παράγοντες επηρεασμού της κατάστασης της υγείας, την ίδια ημέρα",216.00,1,231.65,S
S25Α,Συγγενείς ανωμαλίες και προβλήματα από την νεογνική περίοδο,1082.00,4,271.35,S
G01Μα,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5709.00,22,213.73,G
G01Μβ,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση με σοβαρής βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,3573.00,9,258.42,G
G01Χ,Χειρουργικές επεμβάσεις που δεν σχετίζονται με κάποια κύρια διάγνωση χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2182.00,3,203.91,G
W10Α,"Μη εφικτό να ταξινομηθούν, μικρής βαρύτητας",2014.00,3,284.76,W
W11Α,"Μη αποδεκτή κύρια διάγνωση, μικρής βαρύτητας",991.00,2,119.94,W
W13Α,"Διάγνωση για νεογνά, που δεν είναι συμβατή με την ηλικία/βάρος, μικρής βαρύτητας",685.00,2,222.57,W
