drug_id,ema_code,name,manufacturer
1842,EMA-001842,Fortathrin,Gap S.A.
1843,EMA-001843,Forterra,Help Abee
1844,EMA-001844,Forterra,Help Abee
1845,EMA-001845,Fortrans,Ipsen Consumer Healthcare
1846,EMA-001846,Forvel,Medochemie Hellas Sa
1847,EMA-001847,Fosalen,Genepharm S.A.
1848,EMA-001848,Fosamax Once Weekly «μία Φορά Την Εβδομάδα »,Vianex S.A.
1849,EMA-001849,Fosandron,Cross Pharmaceuticals P.C.
1850,EMA-001850,Fosazom,Vocate Φαρμακευτικη Αε
1851,EMA-001851,Foscarnet Tillomed,Tillomed Pharma Gmbh
1852,EMA-001852,Fosfocin,Vocate Φαρμακευτικη Αε
1853,EMA-001853,Fosrenol,Takeda Pharmaceuticals International Ag Ireland Branch
1854,EMA-001854,Foster,Chiesi Hellas S.A.
1855,EMA-001855,Foster Nexthaler,Chiesi Hellas S.A.
1856,EMA-001856,Fouch,Rafarm Sa.
1857,EMA-001857,Fouch,Rafarm Sa.
1858,EMA-001858,Fractopon,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
1859,EMA-001859,Frastalis,Nassington Ltd
1860,EMA-001860,Fraxiparine,Viatris Healthcare Limited
1861,EMA-001861,Fredilan,Vocate Φαρμακευτικη Αε
1862,EMA-001862,Fredyr,Rafarm Sa.
1863,EMA-001863,Frekidir,Pharmathen
1864,EMA-001864,Frekidir,Pharmathen S.A.
1865,EMA-001865,Fremomet,Frezyderm Industrial And Commercial Company Of Cosmetics Medicines Nutrition S.A.
1866,EMA-001866,Frezylin,Frezyderm Industrial And Commercial Company Of Cosmetics Medicines Nutrition S.A.
1867,EMA-001867,Frisium,Atnahs Pharma Netherlands B.V.
1868,EMA-001868,Frumil,Sanofi-Aventis Monoprosopi A.E.B.E
1869,EMA-001869,Frutenor,Rafarm Sa.
1870,EMA-001870,Frutenor,Rafarm Sa.
1871,EMA-001871,Frutenor,Rafarm Sa.
1872,EMA-001872,Frutenor,Rafarm Sa.
1873,EMA-001873,Fubecot,Target Pharma Single Member Private Ltd
1874,EMA-001874,Fucicort® Lipid,Leo Pharma A/S
1875,EMA-001875,Fucidin,Leo Pharmaceutical Hellas S.A.
